,u_id,Qualification,Major
0,0,Bachelor of Science,Communications
1,1,Bachelor of Arts,Finance
2,2,Certificate,Educating/Teaching Adult
3,3,Bachelor,finance & Mgt
4,4,Bachelor,Economics
5,5,Ph.D,Business Administration
6,6,Bachelor,Accounting & Finance
7,7,Bachelor of Science,Accountancy
8,8,Masters,Business
9,9,Bachelor of Applied Science,Business Adm General)
10,10,Master of Science,Public Admin & Public Policy
12,12,Masters,Business
13,13,Master of Business Administrat,Business Administration
14,14,Master of Business Administrat,General Business Admin
15,15,Bachelor of Arts,Business studies
16,16,Master of Business Administrat,Business
17,17,Masters,Economics
18,18,Masters,Business Education
19,19,Post Graduate Diploma,Political Science
20,20,Master of Science,Finance
21,21,Bachelor of Business Info. Systems,Business
22,22,Bachelor,Commerce
23,23,Bachelor,Economics & Sociology
24,24,Bachelor,Finance
25,25,Bachelor,Law
26,26,Bachelor,Psychology
27,27,Master of Business Administrat,Human Resource Management
28,28,Certificate,Project Management
29,29,Bachelor,Commerce
30,30,Bachelor,Educational Studies
31,31,Graduate Certificate,Teaching & Learning
32,32,Associate in Arts,Business
33,33,Ph.D,Commerce
34,34,Bachelor of Science,Business studies
35,35,Master of Business Administrat,Management
36,36,Masters,International Marketing
37,37,Bachelor,International Business
38,38,Post Graduate Diploma,Management Science
39,39,Masters in Quality Management,Quality Management
40,40,Ph.D,Professional Studies
41,41,Master of Business Administrat,Business Administration
42,42,Post Graduate Diploma,Business
43,43,Bachelor of Commerce,Commerce
44,44,Ph.D,Business Management
45,45,Master of Business Administrat,Business Administration
46,46,Master of Commerce,Financial Management
47,47,Bachelor of Science,Industrial Engineering
48,48,Certificate,
49,49,Bachelor,Economics
50,50,Bachelor,Economics
51,51,Bachelor,international Relations
52,52,Bachelor,International Business and Asian Studies
53,53,Bachelor,Economics
54,54,Bachelor,insurance
55,55,Bachelor,Accounting
56,56,Bachelor,Business Administration and Marketing
57,57,Bachelor,Finance Masters Industrial Strategy and Money Finance and Banking
58,58,Bachelor,Electrical Engineering
59,59,Master of Science,Taxation
60,60,Bachelor of Arts,European Business Studies
61,61,Bachelor,Chemical Engineering
62,62,Bachelor of Science,Radio and Television Arts
63,63,Master of Arts,European Business Studies
64,64,Bachelor of Engineering,
65,65,Graduate Diploma,Education
66,66,Master of Business Administrat,Business Administration
67,67,Master of Business Administrat,Business
68,68,Master of Business Administrat,General Management
69,69,Bachelor of Science,Computing
70,70,Master of Business Administrat,Finance
71,71,Ph.D,Human Resource Management
72,72,Bachelor,Computer Science
73,73,Master of Applied Science,Economics
74,74,Diploma,Marketing
76,76,Bachelor of Business Admin.,Business Administration
77,77,Bachelor,Business
78,78,Diploma,Bsn Adm-Transport & Logistics
79,79,Bachelor,Accounting & Finance
80,80,Diploma,Business Administration
81,81,Master of Business Administrat,Management
